"date_time","forecast","differenced_forecast","day_of_week","hour","is_holiday"
2018-10-01,562.775619506836,53.7756195068359,"Monday",0,0
2018-10-01 01:00:00,348.878700733185,4.87870073318481,"Monday",1,0
2018-10-01 02:00:00,238.399127960205,19.3991279602051,"Monday",2,0
2018-10-01 03:00:00,346.857097625732,18.8570976257324,"Monday",3,0
2018-10-01 04:00:00,884.715699195862,-3.28430080413818,"Monday",4,0
2018-10-01 05:00:00,2960.11459732056,6.11459732055664,"Monday",5,0
2018-10-01 06:00:00,5718.31386375427,-28.6861362457275,"Monday",6,0
2018-10-01 07:00:00,6536.86115264893,-54.1388473510742,"Monday",7,0
2018-10-01 08:00:00,5906.11284732819,6.11284732818604,"Monday",8,0
2018-10-01 09:00:00,4957.24519920349,21.2451992034912,"Monday",9,0
2018-10-01 10:00:00,4242.33088684082,-108.66911315918,"Monday",10,0
2018-10-01 11:00:00,4389.03914642334,-78.9608535766602,"Monday",11,0
2018-10-01 12:00:00,4543.55351829529,12.5535182952881,"Monday",12,0
2018-10-01 13:00:00,4554.911277771,121.911277770996,"Monday",13,0
2018-10-01 14:00:00,4914.35150909424,98.3515090942383,"Monday",14,0
2018-10-01 15:00:00,5465.80614471436,22.8061447143555,"Monday",15,0
2018-10-01 16:00:00,6328.9770526886,21.9770526885986,"Monday",16,0
2018-10-01 17:00:00,5520.90859985352,-41.0914001464844,"Monday",17,0
2018-10-01 18:00:00,4096.26557922363,-70.7344207763672,"Monday",18,0
2018-10-01 19:00:00,3137.37142181396,-115.628578186035,"Monday",19,0
2018-10-01 20:00:00,2496.91530609131,-62.0846939086914,"Monday",20,0
2018-10-01 21:00:00,2103.36365509033,19.363655090332,"Monday",21,0
2018-10-01 22:00:00,1477.63008117676,85.6300811767578,"Monday",22,0
2018-10-01 23:00:00,947.635559082031,121.635559082031,"Monday",23,0
2018-10-02,587.935348510742,60.9353485107422,"Tuesday",0,0
2018-10-02 01:00:00,334.110015869141,32.1100158691406,"Tuesday",1,0
2018-10-02 02:00:00,231.930533647537,-2.06946635246277,"Tuesday",2,0
2018-10-02 03:00:00,350.809720039368,-15.1902799606323,"Tuesday",3,0
2018-10-02 04:00:00,861.791501998901,-18.2084980010986,"Tuesday",4,0
2018-10-02 05:00:00,3043.77285766602,-19.2271423339844,"Tuesday",5,0
2018-10-02 06:00:00,5738.35456085205,-94.6454391479492,"Tuesday",6,0
2018-10-02 07:00:00,6518.95204162598,-49.0479583740234,"Tuesday",7,0
2018-10-02 08:00:00,5987.88514709473,-92.1148529052734,"Tuesday",8,0
2018-10-02 09:00:00,5083.86859411001,0.868594110012054,"Tuesday",9,0
2018-10-02 10:00:00,4409.87249755859,24.8724975585938,"Tuesday",10,0
2018-10-02 11:00:00,4487.45209312439,29.4520931243896,"Tuesday",11,0
2018-10-02 12:00:00,4617.01784515381,37.0178451538086,"Tuesday",12,0
