"date_time","actual","forecast","lo80","hi80","lo95","hi95"
"2018-04-19 13:00:00",5110,4956.78901336192,4513.97095195315,5399.6070747707,4279.55723010846,5634.02079661539
"2018-04-19 14:00:00",5444,5443.24819270871,4867.43902900672,6019.0573564107,4562.62407022602,6323.8723151914
"2018-04-19 15:00:00",6188,5810.20011428177,5215.88559363884,6404.5146349247,4901.27449063405,6719.12573792948
"2018-04-19 16:00:00",6851,5813.21853584176,5217.27197714832,6409.1650945352,4901.79692538681,6724.64014629672
"2018-04-19 17:00:00",6368,5541.13065896412,4943.46787961893,6138.79343830931,4627.08431552347,6455.17700240477
"2018-04-19 18:00:00",4978,4880.28381404266,4280.08144040722,5480.4861876781,3962.35349630237,5798.21413178295
"2018-04-19 19:00:00",3676,3926.63636387159,3323.74108636228,4529.5316413809,3004.58760505681,4848.68512268636
"2018-04-19 20:00:00",3471,3082.88544972631,2477.36477124579,3688.40612820683,2156.82148661786,4008.94941283477
"2018-04-19 21:00:00",3451,2516.40481248146,1908.29575997294,3124.51386498997,1586.38227290227,3446.42735206064
"2018-04-19 22:00:00",2148,2153.18084887373,1542.49411759637,2763.86758015109,1219.21608981117,3087.14560793629
"2018-04-19 23:00:00",1273,1765.97904580446,1152.7230334404,2379.23505816852,828.084910405052,2703.87318120386
"2018-04-20 00:00:00",712,1253.15090811514,637.335899541789,1868.9659166885,311.343125741526,2194.95869048876
"2018-04-20 01:00:00",417,595.05500334398,-23.308266763652,1213.41827345161,-350.65000873514,1540.7600154231
"2018-04-20 02:00:00",322,-12.2842496698959,-633.185255233645,608.616755893853,-961.870393207168,937.301893867376
"2018-04-20 03:00:00",393,193.020115389796,-430.408296257995,816.448527037586,-760.431362194277,1146.47159297387
"2018-04-20 04:00:00",830,1139.31004066947,513.364421431163,1765.25565990777,182.008826288483,2096.61125505045
"2018-04-20 05:00:00",2691,2773.61527740349,2145.16253177759,3402.06802302939,1812.47974409497,3734.75081071201
"2018-04-20 06:00:00",5492,4526.63385999316,3895.68395053556,5157.58376945076,3561.67924417152,5491.58847581479
"2018-04-20 07:00:00",6626,5426.05487093738,4792.61764217878,6059.49209969598,4457.29622851308,6394.81351336167
"2018-04-20 08:00:00",6126,5311.09813645964,4675.18331723279,5947.0129556865,4338.5503463984,6283.64592652089
