"date_time","forecast_speed","lo80","hi80","lo95","hi95"
2018-10-01,532.501183175398,35.8726976048845,1029.12966874591,-227.026542110659,1292.02890846145
2018-10-01 01:00:00,349.888737115368,-297.195413463287,996.972887694023,-639.741071156845,1339.51854538758
2018-10-01 02:00:00,223.764983893599,-487.400948301117,934.930916088314,-863.869452057614,1311.39941984481
2018-10-01 03:00:00,331.855677552153,-418.308452568261,1082.01980767257,-815.421355272525,1479.13271037683
2018-10-01 04:00:00,891.119894991911,116.484376223649,1665.75541376017,-293.582897116267,2075.82268710009
2018-10-01 05:00:00,2956.52452250711,2166.2766651752,3746.77237983901,1747.94471903093,4165.10432598328
2018-10-01 06:00:00,5749.04276551147,4948.73763294991,6549.34789807303,4525.08168689764,6973.0038441253
2018-10-01 07:00:00,6592.65294265474,5785.83067517081,7399.47521013867,5358.72476628718,7826.58111902231
2018-10-01 08:00:00,5901.33751005905,5090.27648705876,6712.39853305934,4660.92671654622,7141.74830357187
2018-10-01 09:00:00,4937.08227176116,4123.25786403405,5750.90667948828,3692.44524601109,6181.71929751124
2018-10-01 10:00:00,4351.87574082684,3536.2470662182,5167.50441543548,3104.47932700268,5599.272154651
2018-10-01 11:00:00,4468.70862238424,3651.90075483753,5285.51648993095,3219.5087885873,5717.90845618118
2018-10-01 12:00:00,4531.57339531064,3713.9943671401,5349.15242348118,3281.1941731148,5781.95261750648
2018-10-01 13:00:00,4433.46397374621,3615.38041842964,5251.54752906278,3182.31314386635,5684.61480362607
2018-10-01 14:00:00,4816.37543320145,3997.9617049207,5634.78916148221,3564.71964734802,6068.03121905489
2018-10-01 15:00:00,5443.30378893182,4624.67395053331,6261.93362733033,4191.31749117478,6695.29008668886
2018-10-01 16:00:00,6307.2458166053,5488.47451001984,7126.01712319075,5055.04316192682,7559.44847128377
2018-10-01 17:00:00,5562.19890719216,4743.33498690445,6381.06282747988,4309.85461207894,6814.54320230539
2018-10-01 18:00:00,4167.1609495463,3348.23639568755,4986.08550340505,2914.7239233884,5419.5979757042
2018-10-01 19:00:00,3253.13023539356,2434.16598385882,4072.0944869283,2000.6324968794,4505.62797390772
2018-10-01 20:00:00,2559.10538245137,1740.11513972416,3378.09562517858,1306.56789383856,3811.64287106418
2018-10-01 21:00:00,2084.08527221943,1265.07801208694,2903.09253235192,831.521757731143,3336.64878670771
2018-10-01 22:00:00,1392.06899964189,573.050597477029,2211.08740180675,139.488444885584,2644.64955439819
2018-10-01 23:00:00,826.055832375571,7.03013499618373,1645.08152975496,-426.535879448555,2078.6475441997
2018-10-02,527.045177831023,-291.985296088232,1346.07565175028,-725.553839080438,1779.64419474248
2018-10-02 01:00:00,302.036556503195,-516.997044862288,1121.07015786868,-950.567243424522,1554.64035643091
2018-10-02 02:00:00,234.029580391435,-585.006068677296,1053.06522946017,-1018.57735122815,1486.63651201102
2018-10-02 03:00:00,366.023935537619,-453.013054271404,1185.06092534664,-886.585046567297,1618.63291764253
2018-10-02 04:00:00,880.019367896546,60.9815002328762,1699.05723556022,-372.590956771196,2132.62969256429
2018-10-02 05:00:00,3063.0156719027,2243.9772294602,3882.0541143452,1810.40446818659,4315.62687561881
2018-10-02 06:00:00,5833.01268121882,5013.97386243747,6652.05150000018,4580.4009019421,7085.62446049554
2018-10-02 07:00:00,6568.01026124995,5748.9711960591,7387.0493264408,5315.39810512244,7820.62241737746
2018-10-02 08:00:00,6080.00830308601,5260.96907655746,6899.04752961456,4827.39590021378,7332.62070595824
2018-10-02 09:00:00,5083.00671860032,4263.9673864352,5902.04605076545,3830.39415417088,6335.61928302976
2018-10-02 10:00:00,4385.00543648353,3565.96603515238,5204.04483781468,3132.39276627378,5637.61810669328
2018-10-02 11:00:00,4458.00439903428,3638.96495241636,5277.0438456522,3205.3916595644,5710.61713850417
2018-10-02 12:00:00,4580.00355956245,3760.96408329281,5399.04303583209,3327.39077474418,5832.61634438072
2018-10-02 13:00:00,4716.00288028781,3896.96338460357,5535.04237597205,3463.39006577747,5968.61569479815
2018-10-02 14:00:00,4973.00233063979,4153.96282224376,5792.04183903582,3720.38949668844,6225.61516459114
2018-10-02 15:00:00,5748.00188588161,4928.96236916248,6567.04140260075,4495.38903920117,7000.61473256206
2018-10-02 16:00:00,6597.00152599706,5777.96200382833,7416.04104816579,5344.38867098218,7849.61438101193
2018-10-02 17:00:00,5734.00123478961,4914.96170905273,6553.04076052649,4481.38837431773,6986.61409526149
2018-10-02 18:00:00,4320.00099915355,3500.96147108042,5139.04052722669,3067.38813510867,5572.61386319844
2018-10-02 19:00:00,3058.00080848414,2238.96127888133,3877.04033808695,1805.38794209982,4310.61367486846
2018-10-02 20:00:00,2765.00065420036,1945.96112359598,3584.04018480473,1512.38778628428,4017.61352211644
2018-10-02 21:00:00,2282.00052935869,1462.96099809854,3101.04006061884,1029.38766043968,3534.61339827769
2018-10-02 22:00:00,1571.00042834067,751.960896651149,2390.0399600302,318.387558764999,2823.61329791635
2018-10-02 23:00:00,924.000346600022,104.960814629363,1743.03987857068,-328.612523405611,2176.61321660566
2018-10-03,543.000280458015,-276.039251696718,1362.03981261275,-709.612589829135,1795.61315074517
2018-10-03 01:00:00,358.000226937949,-461.039305337307,1177.03975921321,-894.612643533525,1610.61309740942
