"lag_hours","autocorrelation"
1,0.913722322669854
2,0.725961371139265
3,0.51330728481941
4,0.313147494048901
5,0.130971462485883
6,-0.0372857445242916
7,-0.181141413245442
8,-0.292278263790203
9,-0.386207662799452
10,-0.482330583881135
11,-0.572454124747209
12,-0.615204674991925
13,-0.583995471739017
14,-0.501689425743402
15,-0.407569242748009
16,-0.313179390393106
17,-0.202772715107525
18,-0.0627102958442168
19,0.0985110114175268
20,0.269436025176985
21,0.45085168667555
22,0.637669175109381
23,0.796563506828258
24,0.866135384801904
25,0.805666294991367
26,0.65371805564383
27,0.472032867604475
28,0.294382555504587
29,0.125671415178397
30,-0.0365789705103887
31,-0.181699876680185
32,-0.300373448541992
33,-0.402572106046663
34,-0.501101429484165
35,-0.587368892735366
36,-0.626983254057853
37,-0.598042622397721
38,-0.518723529936643
39,-0.422791053858224
40,-0.323263471750561
41,-0.209633048828082
42,-0.071252934201937
43,0.0825919068048914
44,0.239825421289491
45,0.399714805646454
46,0.557542231000561
47,0.687021202513715
48,0.742115248740364
49,0.693539170285359
50,0.569637579909214
51,0.417237179122646
52,0.261677572183681
53,0.106226914270199
54,-0.0493658057454973
55,-0.193740220261866
56,-0.317114200366809
57,-0.425582683453447
58,-0.52602341869676
59,-0.606958161532069
60,-0.639386455785595
61,-0.607446359539207
62,-0.527709169489313
63,-0.429437167713831
64,-0.324625422519603
65,-0.205889147472877
66,-0.0658712478098392
67,0.0858717276222526
68,0.238568263564149
69,0.391693592531197
70,0.542061082449926
71,0.664496581735525
72,0.714850726193185
73,0.666912523824157
74,0.546340461978808
75,0.398199287197046
76,0.247198944829097
77,0.0952211949027498
78,-0.0576897330579766
79,-0.199658112478464
80,-0.321152986399592
81,-0.42840485441147
82,-0.528193545092737
83,-0.608267461937199
84,-0.64029032234144
85,-0.608009200383042
86,-0.527618169445775
87,-0.427882068978475
88,-0.320591032608745
89,-0.199365287163299
90,-0.0576605981170804
91,0.0945789813141881
92,0.246255246208676
93,0.397364134884149
94,0.545176057802053
95,0.665622574261751
96,0.714002847177125
97,0.663382985600702
98,0.541144222829501
99,0.391499662653475
100,0.238751910092564
101,0.0862063987485728
102,-0.0653997608769134
103,-0.205458407384134
104,-0.324288379345998
105,-0.42875217720731
106,-0.526473192047667
107,-0.605660952063514
108,-0.63703318170163
109,-0.604642773569361
110,-0.52417378994525
111,-0.424023695212557
112,-0.316127036714528
113,-0.194056809400642
114,-0.0508689470170525
115,0.103720651592058
116,0.258110420032964
117,0.412540424406191
118,0.563829459370325
119,0.686707091678115
120,0.734801172168765
121,0.680311140300246
122,0.551614404507829
123,0.395016842227498
124,0.236468322053254
125,0.0802537168715914
126,-0.0729950818992698
127,-0.210863235442444
128,-0.324347077937194
129,-0.42359515011896
130,-0.518893846024449
131,-0.597297639173973
132,-0.625661191105903
133,-0.58603583508813
134,-0.500318954066532
135,-0.402654749297709
136,-0.301312633674267
137,-0.184236552661159
138,-0.0411749460311997
139,0.119186560608948
140,0.28550922269774
141,0.46048120154558
142,0.639276552609299
143,0.787992095224709
144,0.846223202566198
145,0.777536080872382
146,0.621170683162546
147,0.43753100178759
148,0.258691673508715
149,0.089866303819088
150,-0.0699419286011261
151,-0.208662030651905
152,-0.318401570504681
153,-0.412292723548263
154,-0.505380102059941
155,-0.586472271960525
156,-0.617381845648414
157,-0.575823526411421
158,-0.487629436443731
159,-0.393113179943424
160,-0.300176435948648
161,-0.190332298081745
162,-0.049103984619535
163,0.115540265963983
164,0.292605301010285
165,0.486259290742458
166,0.691528542578728
167,0.86833291165533
168,0.942446525473887
169,0.867317824424923
170,0.690460667667276
171,0.485651971531237
172,0.292297116069963
173,0.115135359773384
174,-0.0495033143925968
175,-0.190476565965872
176,-0.30021856243635
177,-0.393135296954744
178,-0.487488592431981
179,-0.575104859451253
180,-0.616185505104795
181,-0.584936776837838
182,-0.50351024074577
183,-0.410469905949603
184,-0.316870264678511
185,-0.207573758478084
186,-0.0694576287962302
187,0.0895703864025429
188,0.25768797440413
189,0.435769692451911
190,0.619063924299623
191,0.774950859117359
192,0.843053493671345
193,0.784560516142417
194,0.636157665460657
195,0.458050922685037
196,0.283917234992948
197,0.118122309636844
198,-0.0419595999486312
199,-0.18523659004341
200,-0.302486842957785
201,-0.403450241891498
202,-0.500644045287247
203,-0.58558287455121
